Zone,Code zone,Kcal_vegetaux,Kcal_animaux,Population_milliers,SousAlimentation_millions,Disponibilite_calorique_totale_kcal,Population_totale,Taux_sousnutrition_pct,Part_animaux_pct,Part_vegetaux_pct
Afghanistan,2,1871.0,216.0,30552,7.9,2087.0,30552000,25.857554333595186,10.349784379492094,89.65021562050791
Afrique du Sud,202,2533.0,487.0,52776,2.6,3020.0,52776000,4.9264817341215705,16.125827814569536,83.87417218543047
Albanie,3,2203.0,985.0,3173,0.2,3188.0,3173000,6.303183107469272,30.897114178168128,69.10288582183188
Algérie,4,2915.0,378.0,39208,1.7,3293.0,39208000,4.335849826566007,11.478894624962042,88.52110537503796
Angola,7,2221.0,253.0,21472,8.1,2474.0,21472000,37.72354694485842,10.22635408245756,89.77364591754244
Arabie saoudite,194,2736.0,519.0,28829,1.6,3255.0,28829000,5.549967047070658,15.944700460829491,84.0552995391705
Argentine,9,2239.0,987.0,41446,1.5,3226.0,41446000,3.6191671090093136,30.59516429014259,69.40483570985741
Arménie,1,2140.0,784.0,2977,0.1,2924.0,2977000,3.359086328518643,26.812585499316004,73.18741450068399
Bangladesh,16,2345.0,108.0,156595,26.1,2453.0,156595000,16.66719882499441,4.4027721157766,95.5972278842234
Bolivie (État plurinational de),19,1790.0,460.0,10671,2.2,2250.0,10671000,20.61662449629838,20.444444444444446,79.55555555555556
Botswana,20,1948.0,377.0,2021,0.5,2325.0,2021000,24.740227610094013,16.21505376344086,83.78494623655914
Bulgarie,27,2148.0,680.0,7223,0.4,2828.0,7223000,5.5378651529835246,24.045261669024047,75.95473833097596
Burkina Faso,233,2558.0,159.0,16935,3.4,2717.0,16935000,20.076764098021847,5.852042694147958,94.14795730585205
Bénin,53,2491.0,128.0,10323,1.0,2619.0,10323000,9.68710646130001,4.887361588392516,95.11263841160749
Cambodge,115,2264.0,209.0,15135,2.8,2473.0,15135000,18.50016518004625,8.451273756570966,91.54872624342903
Cameroun,32,2542.0,127.0,22254,1.7,2669.0,22254000,7.639076121146759,4.7583364556013485,95.24166354439865
Chili,40,2226.0,754.0,17620,0.6,2980.0,17620000,3.40522133938706,25.302013422818792,74.69798657718121
Chine,351,2384.0,728.0,1416667,137.7,3112.0,1416667000,9.719997712941716,23.39331619537275,76.60668380462725
Colombie,44,2304.0,496.0,48321,4.1,2800.0,48321000,8.484923739161026,17.71428571428571,82.28571428571428
Congo,46,2021.0,185.0,4448,1.8,2206.0,4448000,40.46762589928058,8.386219401631912,91.6137805983681
Costa Rica,48,2213.0,633.0,4872,0.3,2846.0,4872000,6.157635467980295,22.24174279690794,77.75825720309206
Côte d'Ivoire,107,2683.0,114.0,20316,4.7,2797.0,20316000,23.134475290411498,4.0757954951734,95.9242045048266
Djibouti,72,2376.0,233.0,873,0.2,2609.0,873000,22.90950744558992,8.930624760444616,91.06937523955538
El Salvador,60,2144.0,432.0,6340,0.7,2576.0,6340000,11.041009463722396,16.77018633540373,83.22981366459628
Eswatini,209,2063.0,263.0,1250,0.3,2326.0,1250000,24.0,11.306964746345658,88.69303525365434
Gabon,74,2413.0,413.0,1672,0.2,2826.0,1672000,11.961722488038278,14.61429582448691,85.38570417551308
Gambie,75,2457.0,164.0,1849,0.2,2621.0,1849000,10.816657652785288,6.257153758107592,93.74284624189241
Ghana,81,2874.0,140.0,25905,1.6,3014.0,25905000,6.176413819725922,4.644990046449901,95.3550099535501
Guatemala,89,2161.0,255.0,15468,2.5,2416.0,15468000,16.16239979312128,10.554635761589404,89.44536423841059
Guinée,90,2448.0,119.0,11745,1.8,2567.0,11745000,15.32567049808429,4.635761589403973,95.36423841059603
Guinée-Bissau,175,2120.0,168.0,1704,0.4,2288.0,1704000,23.474178403755868,7.3426573426573425,92.65734265734265
Géorgie,73,2401.0,501.0,4341,0.3,2902.0,4341000,6.91085003455425,17.26395589248794,82.73604410751206
Haïti,93,1935.0,154.0,10317,5.2,2089.0,10317000,50.40224871571193,7.371948300622308,92.62805169937769
Honduras,95,2277.0,362.0,8096,1.3,2639.0,8096000,16.057312252964426,13.717317165593027,86.28268283440697
Inde,100,2219.0,235.0,1252140,216.3,2454.0,1252140000,17.274426182375773,9.576202118989405,90.42379788101059
Indonésie,101,2594.0,182.0,249866,22.6,2776.0,249866000,9.044848038548665,6.556195965417867,93.44380403458213
Iran (République islamique d'),102,2784.0,305.0,77447,4.2,3089.0,77447000,5.423063514403399,9.873745548721269,90.12625445127873
Iraq,103,2376.0,166.0,33765,9.1,2542.0,33765000,26.95098474751962,6.530291109362707,93.46970889063729
